Rank,Produto,Preço,URL
190,"Notebook Dell Inspiron 15 3520 Intel Core i5 1235U 15,6"" 16GB SSD 512GB Windows 11 i3520wadl1012w4.4 (68)Menor preço via ExtraR$ 3.365,10até 10x de R$ 373,90
            
          Frete Grátis 5% de volta na loja todaCompare entre 3 lojas","R$ 3.365,10",https://www.zoom.com.br/notebook/notebook-dell-inspiron-15-3520-i3520uadl1012w-intel-core-i5-1235u-15-6-16gb-ssd-512-gb-windows-11-leitor-biometrico?_lc=88&searchterm=notebook
191,"Notebook Dell Inspiron 15 3520 Intel Core i5 1235U 15,6"" 16GB SSD 512GB Windows 11 i3520wadl1012w4.4 (68)Menor preço via ExtraR$ 3.365,10até 10x de R$ 373,90
            
          Frete Grátis 5% de volta na loja todaCompare entre 3 lojas","R$ 3.365,10",https://www.zoom.com.br/notebook/notebook-dell-inspiron-15-3520-i3520uadl1012w-intel-core-i5-1235u-15-6-16gb-ssd-512-gb-windows-11-leitor-biometrico?_lc=88&searchterm=notebook
192,Sem título,Sem preço,
193,Sem título,Sem preço,
194,"Notebook Dell Inspiron 15 3520 Intel Core i5 1235U 15,6"" 16GB SSD 512GB Windows 11 i3520wadl1012w","R$ 3.365,10",
195,Sem título,Sem preço,
196,"Notebook Dell Inspiron 15 3520 Intel Core i5 1235U 15,6"" 16GB SSD 512GB Windows 11 i3520wadl1012w","R$ 3.365,10",
197,"Notebook Dell Inspiron 15 3520 Intel Core i5 1235U 15,6"" 16GB SSD 512GB Windows 11 i3520wadl1012w",Sem preço,
198,Sem título,Sem preço,
199,Sem título,Sem preço,
200,"Notebook Dell Inspiron 15 Intel Core i5 1235U 15,6"" 16GB SSD 1TB Windows 11 I15-I120K-A35PMenor preço via Magazine LuizaR$ 3.959,10até 10x de R$ 439,90
            
          Frete Grátis 8% de volta na loja todaCompare entre 4 lojas","R$ 3.959,10",https://www.zoom.com.br/notebook/notebook-dell-inspiron-15-i15-i120k-a35p-intel-core-i5-1235u-15-6-16gb-ssd-1-tb-windows-11?_lc=88&searchterm=notebook
201,"Notebook Dell Inspiron 15 Intel Core i5 1235U 15,6"" 16GB SSD 1TB Windows 11 I15-I120K-A35PMenor preço via Magazine LuizaR$ 3.959,10até 10x de R$ 439,90
            
          Frete Grátis 8% de volta na loja todaCompare entre 4 lojas","R$ 3.959,10",https://www.zoom.com.br/notebook/notebook-dell-inspiron-15-i15-i120k-a35p-intel-core-i5-1235u-15-6-16gb-ssd-1-tb-windows-11?_lc=88&searchterm=notebook
202,Sem título,Sem preço,
203,Sem título,Sem preço,
204,"Notebook Dell Inspiron 15 Intel Core i5 1235U 15,6"" 16GB SSD 1TB Windows 11 I15-I120K-A35P","R$ 3.959,10",
205,Sem título,Sem preço,
206,"Notebook Dell Inspiron 15 Intel Core i5 1235U 15,6"" 16GB SSD 1TB Windows 11 I15-I120K-A35P","R$ 3.959,10",
207,"Notebook Dell Inspiron 15 Intel Core i5 1235U 15,6"" 16GB SSD 1TB Windows 11 I15-I120K-A35P",Sem preço,
208,Sem título,Sem preço,
